"date","close","volume","open","high","low"

"2019/02/22","31.1500","23345330.0000","30.9500","31.1900","30.8200"
"2019/02/21","30.8300","26281120.0000","30.8600","31.0600","30.6300"
"2019/02/20","30.8500","23670680.0000","30.6400","30.9429","30.4600"
"2019/02/19","30.6300","24616520.0000","30.4600","30.6800","30.3100"
"2019/02/15","30.4700","37151660.0000","30.0300","30.5200","29.9300"
"2019/02/14","29.7900","25842620.0000","29.7000","30.0100","29.5500"
"2019/02/13","29.8400","30033420.0000","29.8100","29.8800","29.5000"
"2019/02/12","29.8100","29979500.0000","29.8500","30.0300","29.7346"
"2019/02/11","29.7100","29011150.0000","29.5800","29.8400","29.4600"
"2019/02/08","29.5500","24194900.0000","29.4000","29.5600","29.1000"
"2019/02/07","29.4500","37878130.0000","29.5400","29.5600","28.9200"
"2019/02/06","29.5600","22443110.0000","29.7000","29.7900","29.5200"
"2019/02/05","29.6300","29020870.0000","29.6700","29.7100","29.4647"
"2019/02/04","29.6100","38940020.0000","30.0300","30.0300","29.5600"
"2019/02/01","30.0000","40874290.0000","30.2100","30.3600","29.9000"
"2019/01/31","30.0600","50716730.0000","29.5000","30.0900","29.1450"
"2019/01/30","29.3700","92907680.0000","29.9600","30.4000","29.0100"
"2019/01/29","30.7000","31320730.0000","30.6200","30.7000","30.4500"
"2019/01/28","30.6700","31023150.0000","30.6200","30.6800","30.4300"
"2019/01/25","30.6600","30478140.0000","30.6800","31.0350","30.6400"
"2019/01/24","30.6000","24385670.0000","30.7800","30.7800","30.2700"
"2019/01/23","30.8900","27846850.0000","30.7200","30.9000","30.5900"
"2019/01/22","30.5800","37653980.0000","30.9200","30.9900","30.4200"
"2019/01/18","30.9600","43199780.0000","30.8200","31.0300","30.5200"
"2019/01/17","30.6400","26264440.0000","30.5500","30.7450","30.4050"
"2019/01/16","30.5600","24398070.0000","30.5300","30.7500","30.3500"
"2019/01/15","30.6000","26601970.0000","30.5200","30.6000","30.2300"
"2019/01/14","30.6200","22868440.0000","30.7000","30.7800","30.3900"
"2019/01/11","30.8700","28917280.0000","30.4000","30.9500","30.3100"
"2019/01/10","30.4000","31995400.0000","30.0500","30.4800","29.8200"
"2019/01/09","30.1000","44281950.0000","30.8800","30.8800","29.9700"
"2019/01/08","31.2800","43542010.0000","31.3100","31.3800","31.0300"
"2019/01/07","30.8900","40235960.0000","30.7300","31.2700","30.4200"
"2019/01/04","30.3400","42045270.0000","29.9600","30.3800","29.8850"
"2019/01/03","29.5800","38318190.0000","29.5200","29.8065","29.2100"
"2019/01/02","29.5400","39156700.0000","28.5000","29.5900","28.3000"
"2018/12/31","28.5400","46145770.0000","28.5700","28.6400","28.0900"
"2018/12/28","28.4600","47551440.0000","28.1900","28.8000","28.1700"
"2018/12/27","28.1500","54472190.0000","27.8100","28.1600","27.1700"
"2018/12/26","28.0800","57312080.0000","27.5000","28.1000","26.8000"
"2018/12/24","27.3600","41110050.0000","28.2100","28.2900","27.3600"
"2018/12/21","28.3100","79245500.0000","28.3400","29.2400","28.1400"
"2018/12/20","28.6500","76531800.0000","29.8400","29.8600","28.1900"
"2018/12/19","29.8200","51402090.0000","29.9200","30.3000","29.6137"
"2018/12/18","29.7500","41917530.0000","29.6300","30.0200","29.6000"
"2018/12/17","29.8600","42144270.0000","30.1300","30.2400","29.6000"
"2018/12/14","30.2200","41617010.0000","29.8300","30.4000","29.7000"
"2018/12/13","29.9100","45950780.0000","30.0900","30.1900","29.5500"
"2018/12/12","30.1600","40880430.0000","30.1100","30.2900","29.9250"
"2018/12/11","29.7000","44363070.0000","30.4400","30.6700","29.5850"
"2018/12/10","29.9100","41001380.0000","30.0800","30.0900","29.1700"
"2018/12/07","30.1400","34446060.0000","30.2200","30.8800","30.0100"
"2018/12/06","30.5300","50009080.0000","30.4800","30.5600","29.8500"
"2018/12/04","30.7300","44761940.0000","31.7300","32.0100","30.6700"
"2018/12/03","31.7100","43524530.0000","31.7400","31.9000","31.3100"
"2018/11/30","31.2400","80460330.0000","30.7100","31.4300","30.6800"
"2018/11/29","30.5700","30640050.0000","30.3700","30.7100","30.2000"
"2018/11/28","30.7400","32857930.0000","30.4400","30.8700","30.3500"
"2018/11/27","30.4400","32149040.0000","29.8400","30.4900","29.7200"
"2018/11/26","29.9500","33335760.0000","29.6500","30.1500","29.6400"
"2018/11/23","29.3600","13401040.0000","29.7600","29.7600","29.3500"
"2018/11/21","29.7700","30303120.0000","29.5000","30.0250","29.4100"
"2018/11/20","29.4200","41386970.0000","29.9700","30.1800","29.4000"
"2018/11/19","30.3500","27769390.0000","30.3400","30.6950","30.2100"
"2018/11/16","30.2900","28593290.0000","30.0700","30.4200","29.9500"
"2018/11/15","30.1200","38505970.0000","30.3500","30.3700","29.9000"
"2018/11/14","30.5100","31224830.0000","30.5500","30.7150","30.1100"
"2018/11/13","30.3300","25210780.0000","30.8500","30.9000","30.2800"
"2018/11/12","30.7800","25019880.0000","30.7000","31.2300","30.6500"
"2018/11/09","30.6900","39991630.0000","30.9800","31.0800","30.4400"
"2018/11/08","31.0400","29506690.0000","31.0800","31.1600","30.8800"
"2018/11/07","31.1000","30818620.0000","30.9900","31.1300","30.6900"
"2018/11/06","30.9600","24303810.0000","30.6400","30.9700","30.5100"
"2018/11/05","30.6300","26541190.0000","30.6300","30.8600","30.5700"
"2018/11/02","30.5200","32971570.0000","30.6300","30.9100","30.3500"
"2018/11/01","30.4900","35226470.0000","30.9900","31.0500","30.3800"
"2018/10/31","30.6800","44808230.0000","30.6900","30.9800","30.1200"
"2018/10/30","30.4700","49056750.0000","29.8500","30.5900","29.8200"
"2018/10/29","29.6400","48435420.0000","29.5900","30.3200","29.2900"
"2018/10/26","29.0900","77623070.0000","29.8900","29.9300","28.8500"
"2018/10/25","29.9800","76731610.0000","30.6500","30.7100","29.7600"
"2018/10/24","30.3600","118749700.0000","31.7300","31.8000","30.2600"
"2018/10/23","33.0200","53401040.0000","32.7000","33.2800","32.0500"
"2018/10/22","32.6700","23086140.0000","32.9100","32.9600","32.5900"
"2018/10/19","32.8700","34763550.0000","32.4500","32.9500","32.3100"
"2018/10/18","32.5000","30340820.0000","32.5700","32.8500","32.2400"
